Country;Variable;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Algeria;Financial Institutions Access Index;0.04;0.04;0.05;0.05;0.05;0.05;0.05;0.08;0.08;0.07;0.07;0.07;0.06;0.06;0.07;0.06;0.07;0.07;0.07;0.07;0.07;0.06;0.06;0.07;0.06;0.06;0.07;0.07;0.08;0.08;0.08;0.09;0.09;0.09;0.09;0.1;0.1;0.1;0.1;0.1;0.1
Algeria;Financial Institutions Depth Index;0.04;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.05;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.05;0.04;0.04;0.04;0.04;0.05;0.05;0.06;0.05;0.05;0.05;0.06;0.06;0.07;0.07;0.07;0.07;0.08;0.09
Algeria;Financial Institutions Efficiency Index;0.55;0.58;0.62;0.64;0.65;0.65;0.66;0.79;0.79;0.79;0.79;0.79;0.73;0.7;0.69;0.69;0.68;0.7;0.69;0.73;0.73;0.69;0.69;0.71;0.66;0.65;0.68;0.69;0.75;0.71;0.72;0.71;0.71;0.7;0.71;0.7;0.7;0.71;0.74;0.71;0.73
Algeria;Financial Institutions Index;0.18;0.18;0.2;0.21;0.21;0.22;0.22;0.26;0.26;0.26;0.25;0.25;0.23;0.22;0.22;0.22;0.22;0.22;0.22;0.23;0.23;0.22;0.23;0.23;0.21;0.21;0.22;0.23;0.25;0.24;0.24;0.24;0.24;0.24;0.25;0.25;0.25;0.26;0.26;0.26;0.27
Algeria;Financial Markets Access Index;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Financial Markets Depth Index;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0;0;0;0;0;0;0;0;0;0
Algeria;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;Financial Markets Index;0;0;0;0;0;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0
Angola;Financial Development Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16;0.16;0.18;0.19;0.11;0.09;0.09;0.1;0.1;0.11;0.11;0.11;0.13;0.14;0.15;0.15;0.14;0.13;0.14;0.13;0.15;0.15;0.15;0.14;0.14;0.14
Angola;Financial Institutions Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.02;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.05;0.06;0.08;0.1;0.13;0.15;0.17;0.19;0.2;0.2;0.2;0.2;0.19;0.19;0.18
Angola;Financial Institutions Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27;0.26;0.28;0.28;0.04;0.03;0.03;0.05;0.06;0.06;0.05;0.04;0.04;0.04;0.08;0.07;0.06;0.06;0.06;0.06;0.07;0.06;0.05;0.04;0.04;0.04
Angola;Financial Institutions Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.57;0.62;0.64;0.62;0.39;0.41;0.39;0.42;0.41;0.42;0.43;0.53;0.63;0.74;0.71;0.7;0.62;0.55;0.57;0.47;0.53;0.58;0.59;0.58;0.56;0.48
Angola;Financial Institutions Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27;0.28;0.3;0.29;0.13;0.13;0.12;0.14;0.14;0.14;0.15;0.18;0.21;0.24;0.26;0.26;0.25;0.24;0.26;0.23;0.25;0.26;0.26;0.25;0.24;0.22
Angola;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0.01
Angola;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.09;0.15;0.22;0.24;0.14;0.15;0.15;0.15;0.18;0.15;0.11;0.09;0.08;0.1;0.07;0.06;0.03;0.05;0.06;0.08;0.1;0.07;0.07;0.1;0.16
Angola;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0.04;0.06;0.09;0.1;0.06;0.06;0.06;0.06;0.07;0.06;0.05;0.04;0.03;0.04;0.03;0.02;0.01;0.02;0.03;0.03;0.04;0.03;0.03;0.04;0.06
Antigua and Barbuda;Financial Development Index;0.16;0.16;0.14;0.19;0.19;0.2;0.2;0.23;0.24;0.23;0.25;0.23;0.23;0.22;0.2;0.22;0.21;0.22;0.23;0.24;0.24;0.23;0.23;0.25;0.24;0.24;0.23;0.22;0.24;0.31;0.31;0.31;0.31;0.33;0.32;0.31;0.29;0.29;0.29;0.28;0.28
Antigua and Barbuda;Financial Institutions Access Index;0.17;0.16;0.14;0.23;0.24;0.27;0.27;0.32;0.36;0.33;0.39;0.33;0.33;0.3;0.27;0.31;0.35;0.37;0.39;0.4;0.41;0.4;0.39;0.41;0.39;0.44;0.43;0.41;0.44;0.74;0.74;0.73;0.73;0.74;0.69;0.66;0.59;0.58;0.57;0.56;0.51
Antigua and Barbuda;Financial Institutions Depth Index;0.19;0.21;0.2;0.24;0.21;0.22;0.21;0.25;0.25;0.26;0.26;0.27;0.29;0.28;0.25;0.29;0.32;0.36;0.36;0.37;0.38;0.34;0.33;0.39;0.37;0.33;0.33;0.29;0.33;0.35;0.38;0.37;0.34;0.35;0.33;0.33;0.31;0.33;0.32;0.3;0.32
Antigua and Barbuda;Financial Institutions Efficiency Index;0.63;0.58;0.5;0.65;0.69;0.73;0.7;0.76;0.81;0.76;0.82;0.72;0.71;0.68;0.63;0.67;0.49;0.47;0.47;0.52;0.48;0.53;0.58;0.57;0.54;0.52;0.51;0.52;0.52;0.52;0.51;0.51;0.6;0.68;0.73;0.72;0.72;0.72;0.72;0.73;0.73
Antigua and Barbuda;Financial Institutions Index;0.32;0.31;0.28;0.37;0.37;0.4;0.39;0.44;0.47;0.45;0.49;0.45;0.45;0.43;0.38;0.43;0.42;0.44;0.45;0.46;0.46;0.45;0.46;0.49;0.46;0.47;0.46;0.44;0.47;0.6;0.62;0.6;0.62;0.65;0.63;0.61;0.58;0.58;0.57;0.56;0.55
Antigua and Barbuda;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;Financial Development Index;0.23;0.23;0.26;0.22;0.23;0.2;0.18;0.18;0.32;0.2;0.21;0.22;0.34;0.37;0.39;0.37;0.38;0.38;0.36;0.29;0.3;0.26;0.29;0.28;0.29;0.32;0.33;0.33;0.34;0.31;0.27;0.27;0.28;0.3;0.3;0.29;0.31;0.33;0.32;0.28;0.31
Argentina;Financial Institutions Access Index;0.07;0.1;0.11;0.09;0.08;0.06;0.06;0.07;0.07;0.09;0.09;0.09;0.1;0.1;0.13;0.13;0.13;0.15;0.16;0.18;0.19;0.19;0.18;0.18;0.16;0.16;0.16;0.17;0.19;0.21;0.23;0.27;0.3;0.34;0.35;0.36;0.38;0.39;0.41;0.42;0.43
Argentina;Financial Institutions Depth Index;0.12;0.16;0.17;0.14;0.13;0.09;0.09;0.11;0.11;0.21;0.17;0.11;0.11;0.12;0.13;0.13;0.12;0.13;0.14;0.16;0.18;0.18;0.21;0.17;0.16;0.17;0.17;0.16;0.15;0.16;0.15;0.16;0.17;0.18;0.18;0.19;0.19;0.2;0.18;0.17;0.21
Argentina;Financial Institutions Efficiency Index;0.64;0.76;0.79;0.7;0.65;0.4;0.39;0.48;0.46;0.39;0.35;0.4;0.4;0.37;0.36;0.38;0.51;0.53;0.51;0.51;0.55;0.3;0.54;0.55;0.48;0.54;0.56;0.53;0.55;0.55;0.57;0.56;0.56;0.58;0.59;0.57;0.53;0.5;0.43;0.22;0.45
Argentina;Financial Institutions Index;0.25;0.31;0.32;0.28;0.26;0.17;0.16;0.2;0.2;0.23;0.2;0.19;0.19;0.19;0.2;0.21;0.24;0.26;0.26;0.28;0.3;0.23;0.31;0.29;0.26;0.28;0.29;0.28;0.29;0.3;0.31;0.33;0.35;0.37;0.38;0.38;0.38;0.38;0.37;0.31;0.39
Argentina;Financial Markets Access Index;0.25;0.26;0.31;0.28;0.32;0.43;0.37;0.37;0.33;0.32;0.36;0.42;0.45;0.51;0.5;0.5;0.55;0.56;0.55;0.52;0.5;0.51;0.5;0.51;0.65;0.77;0.91;0.9;1;0.8;0.5;0.51;0.5;0.56;0.52;0.46;0.54;0.65;0.58;0.53;0.52
Argentina;Financial Markets Depth Index;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.04;0.05;0.16;0.25;0.12;0.13;0.16;0.14;0.14;0.13;0.12;0.17;0.17;0.14;0.14;0.13;0.14;0.09;0.1;0.09;0.06;0.05;0.06;0.06;0.05;0.07;0.09;0.08;0.08;0.08
Argentina;Financial Markets Efficiency Index;0.35;0.16;0.31;0.16;0.27;0.29;0.19;0.13;1;0.15;0.27;0.3;1;1;1;1;0.86;0.8;0.71;0.26;0.25;0.25;0.09;0.1;0.14;0.14;0.08;0.1;0.1;0.04;0.05;0.07;0.05;0.05;0.07;0.06;0.07;0.07;0.12;0.09;0.09
Argentina;Financial Markets Index;0.2;0.14;0.2;0.14;0.19;0.23;0.18;0.16;0.43;0.16;0.21;0.24;0.48;0.54;0.57;0.52;0.5;0.49;0.45;0.3;0.29;0.28;0.25;0.26;0.31;0.34;0.37;0.37;0.39;0.31;0.21;0.21;0.19;0.22;0.21;0.18;0.22;0.26;0.25;0.23;0.23
Armenia, Rep. of;Financial Development Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.09;0.09;0.09;0.09;0.09;0.1;0.1;0.11;0.13;0.11;0.11;0.1;0.12;0.13;0.15;0.16;0.17;0.19;0.2;0.21;0.22;0.23;0.23;0.24;0.24;0.25;0.26
Armenia, Rep. of;Financial Institutions Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0.12;0.12;0.12;0.12;0.14;0.16;0.18;0.17;0.17;0.15;0.14;0.16;0.19;0.24;0.3;0.33;0.36;0.42;0.46;0.48;0.52;0.53;0.53;0.54;0.55;0.56;0.57
Armenia, Rep. of;Financial Institutions Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.03;0.02;0.01;0.02;0.02;0.02;0.03;0.02;0.02;0.01;0.02;0.02;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.08;0.09;0.09;0.1;0.11;0.12;0.13;0.17
Armenia, Rep. of;Financial Institutions Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.34;0.42;0.42;0.44;0.41;0.39;0.41;0.36;0.44;0.58;0.52;0.54;0.44;0.53;0.49;0.48;0.5;0.54;0.56;0.58;0.59;0.58;0.59;0.61;0.62;0.65;0.66;0.65
Armenia, Rep. of;Financial Institutions Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.17;0.17;0.17;0.16;0.17;0.18;0.18;0.19;0.23;0.2;0.2;0.19;0.22;0.24;0.27;0.29;0.32;0.36;0.38;0.4;0.41;0.42;0.43;0.44;0.45;0.47;0.48
Armenia, Rep. of;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Armenia, Rep. of;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.02;0.01;0.01;0.04;0.03;0.03;0.03;0.03;0.03
Armenia, Rep. of;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armenia, Rep. of;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.02;0.02;0.02
Aruba, Kingdom of the Netherlands;Financial Development Index;0;0;0;0;0;0;0.23;0.24;0.25;0.24;0.24;0.24;0.23;0.21;0.2;0.21;0.22;0.22;0.21;0.2;0.22;0.22;0.24;0.23;0.22;0.22;0.23;0.23;0.23;0.22;0.22;0.26;0.28;0.29;0.29;0.29;0.3;0.29;0.29;0.29;0.29
Aruba, Kingdom of the Netherlands;Financial Institutions Access Index;0;0;0;0;0;0;0.56;0.57;0.57;0.57;0.57;0.57;0.56;0.53;0.49;0.53;0.54;0.55;0.53;0.5;0.56;0.56;0.57;0.56;0.56;0.56;0.56;0.55;0.55;0.55;0.55;0.73;0.75;0.72;0.71;0.71;0.72;0.71;0.69;0.67;0.63
Aruba, Kingdom of the Netherlands;Financial Institutions Depth Index;0;0;0;0;0;0;0.16;0.16;0.17;0.17;0.18;0.18;0.17;0.16;0.17;0.18;0.19;0.18;0.18;0.19;0.19;0.2;0.21;0.22;0.21;0.21;0.2;0.21;0.22;0.23;0.25;0.23;0.27;0.26;0.27;0.27;0.28;0.28;0.28;0.29;0.34
Aruba, Kingdom of the Netherlands;Financial Institutions Efficiency Index;0;0;0;0;0;0;0.54;0.61;0.62;0.61;0.6;0.58;0.53;0.46;0.39;0.42;0.43;0.44;0.42;0.36;0.45;0.43;0.51;0.47;0.4;0.37;0.51;0.45;0.42;0.35;0.29;0.34;0.37;0.51;0.53;0.58;0.58;0.58;0.58;0.59;0.57
Aruba, Kingdom of the Netherlands;Financial Institutions Index;0;0;0;0;0;0;0.45;0.47;0.48;0.48;0.48;0.47;0.45;0.42;0.38;0.41;0.43;0.43;0.41;0.39;0.44;0.44;0.46;0.46;0.43;0.43;0.46;0.45;0.44;0.42;0.42;0.5;0.53;0.55;0.56;0.57;0.58;0.57;0.57;0.56;0.56
Aruba, Kingdom of the Netherlands;Financial Markets Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aruba, Kingdom of the Netherlands;Financial Markets Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Aruba, Kingdom of the Netherlands;Financial Markets Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aruba, Kingdom of the Netherlands;Financial Markets Index;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Australia;Financial Development Index;0.29;0.3;0.29;0.32;0.36;0.45;0.49;0.57;0.53;0.56;0.58;0.57;0.55;0.62;0.68;0.67;0.72;0.74;0.77;0.82;0.86;0.9;0.93;0.92;0.92;0.93;0.94;0.97;0.89;0.93;0.95;0.95;0.92;0.9;0.9;0.92;0.91;0.9;0.89;0.88;0.91
Australia;Financial Institutions Access Index;0.37;0.37;0.37;0.39;0.41;0.5;0.56;0.58;0.57;0.63;0.69;0.71;0.7;0.74;0.77;0.77;0.79;0.82;0.83;0.84;0.84;0.84;0.84;0.83;0.85;0.85;0.85;0.86;0.86;0.85;0.85;0.84;0.85;0.84;0.83;0.82;0.81;0.83;0.82;0.8;0.79
Australia;Financial Institutions Depth Index;0.45;0.45;0.45;0.48;0.5;0.61;0.68;0.7;0.74;0.87;0.87;0.87;0.87;0.88;0.88;0.89;0.89;0.9;0.91;0.92;0.92;0.92;0.93;0.92;0.92;0.92;0.92;0.97;0.89;0.94;0.92;0.92;0.92;0.93;0.96;0.95;0.93;0.9;0.89;0.87;0.86
Australia;Financial Institutions Efficiency Index;0.37;0.37;0.37;0.4;0.43;0.53;0.59;0.61;0.52;0.61;0.61;0.59;0.51;0.62;0.64;0.66;0.66;0.67;0.67;0.66;0.69;0.68;0.68;0.7;0.68;0.71;0.74;0.73;0.72;0.73;0.75;0.75;0.75;0.76;0.76;0.75;0.74;0.75;0.76;0.76;0.73
Australia;Financial Institutions Index;0.45;0.45;0.45;0.48;0.51;0.62;0.69;0.71;0.7;0.8;0.83;0.84;0.81;0.86;0.88;0.88;0.9;0.92;0.92;0.93;0.94;0.94;0.94;0.94;0.94;0.94;0.96;0.98;0.94;0.96;0.96;0.95;0.95;0.96;0.97;0.96;0.94;0.94;0.93;0.92;0.9
Australia;Financial Markets Access Index;0.11;0.13;0.13;0.16;0.26;0.36;0.35;0.37;0.37;0.29;0.27;0.23;0.24;0.32;0.4;0.4;0.43;0.48;0.55;0.67;0.77;0.79;0.79;0.78;0.76;0.75;0.73;0.77;0.59;0.74;0.78;0.79;0.81;0.83;0.82;0.8;0.77;0.76;0.76;0.76;0.76
Australia;Financial Markets Depth Index;0.11;0.1;0.07;0.1;0.1;0.14;0.26;0.38;0.27;0.24;0.21;0.23;0.21;0.34;0.42;0.41;0.5;0.49;0.59;0.75;0.75;0.87;0.87;0.9;0.91;0.91;0.94;0.95;0.81;0.96;0.97;0.89;0.89;0.86;0.87;0.92;0.98;0.97;0.86;0.94;0.96
Australia;Financial Markets Efficiency Index;0.1;0.18;0.15;0.21;0.25;0.32;0.23;0.46;0.37;0.38;0.46;0.39;0.38;0.4;0.56;0.49;0.57;0.63;0.58;0.57;0.71;0.79;0.94;0.89;0.87;0.94;0.97;1;1;0.82;0.96;1;0.81;0.71;0.67;0.78;0.74;0.66;0.76;0.69;0.88
Australia;Financial Markets Index;0.11;0.13;0.11;0.16;0.2;0.27;0.29;0.41;0.34;0.3;0.31;0.28;0.28;0.36;0.46;0.44;0.51;0.54;0.59;0.68;0.75;0.83;0.88;0.87;0.86;0.88;0.89;0.92;0.81;0.86;0.92;0.9;0.85;0.81;0.8;0.85;0.85;0.82;0.81;0.82;0.89
Austria;Financial Development Index;0.18;0.19;0.2;0.24;0.27;0.32;0.33;0.35;0.34;0.46;0.47;0.34;0.33;0.38;0.43;0.45;0.45;0.49;0.6;0.57;0.6;0.58;0.57;0.61;0.66;0.68;0.71;0.73;0.74;0.66;0.66;0.65;0.62;0.61;0.6;0.6;0.62;0.61;0.63;0.61;0.62
Austria;Financial Institutions Access Index;0.21;0.2;0.21;0.27;0.31;0.33;0.35;0.39;0.34;0.33;0.31;0.28;0.31;0.35;0.36;0.38;0.42;0.45;0.5;0.62;0.66;0.64;0.61;0.65;0.66;0.62;0.63;0.63;0.63;0.63;0.63;0.67;0.68;0.68;0.67;0.66;0.64;0.64;0.63;0.63;0.58
Austria;Financial Institutions Depth Index;0.17;0.17;0.18;0.23;0.26;0.28;0.3;0.33;0.29;0.28;0.27;0.23;0.28;0.34;0.35;0.38;0.45;0.45;0.51;0.58;0.62;0.63;0.63;0.63;0.64;0.66;0.66;0.64;0.65;0.66;0.66;0.64;0.63;0.63;0.62;0.61;0.6;0.59;0.59;0.59;0.62
Austria;Financial Institutions Efficiency Index;0.53;0.53;0.54;0.6;0.63;0.65;0.66;0.68;0.65;0.64;0.62;0.61;0.6;0.6;0.59;0.59;0.59;0.6;0.6;0.62;0.6;0.6;0.6;0.6;0.6;0.59;0.59;0.56;0.46;0.47;0.51;0.5;0.52;0.43;0.46;0.5;0.63;0.52;0.54;0.52;0.53
Austria;Financial Institutions Index;0.3;0.3;0.3;0.37;0.41;0.43;0.45;0.48;0.44;0.42;0.41;0.38;0.41;0.45;0.46;0.48;0.53;0.54;0.59;0.68;0.71;0.7;0.69;0.71;0.71;0.71;0.71;0.69;0.67;0.68;0.69;0.69;0.7;0.67;0.67;0.68;0.7;0.66;0.67;0.66;0.65
Austria;Financial Markets Access Index;0.11;0.15;0.18;0.18;0.26;0.33;0.33;0.33;0.35;0.26;0.3;0.34;0.3;0.48;0.65;0.53;0.52;0.7;0.64;0.68;0.77;0.67;0.73;0.85;0.95;0.97;0.93;0.89;0.89;0.83;0.85;0.77;0.8;0.81;0.73;0.66;0.65;0.76;0.85;0.82;0.77
Austria;Financial Markets Depth Index;0.01;0.02;0.02;0.03;0.04;0.07;0.07;0.08;0.09;0.2;0.25;0.13;0.1;0.13;0.15;0.16;0.16;0.2;0.18;0.21;0.25;0.27;0.32;0.36;0.42;0.47;0.58;0.63;0.48;0.49;0.5;0.45;0.47;0.49;0.42;0.46;0.48;0.49;0.44;0.48;0.54
Austria;Financial Markets Efficiency Index;0.07;0.07;0.06;0.11;0.09;0.22;0.22;0.22;0.24;1;1;0.39;0.3;0.31;0.38;0.52;0.4;0.4;1;0.44;0.4;0.36;0.24;0.26;0.36;0.42;0.53;0.67;1;0.56;0.48;0.56;0.28;0.28;0.37;0.41;0.41;0.32;0.42;0.31;0.37
Austria;Financial Markets Index;0.06;0.08;0.08;0.1;0.13;0.2;0.2;0.2;0.22;0.47;0.51;0.28;0.23;0.3;0.38;0.39;0.35;0.43;0.59;0.43;0.47;0.43;0.43;0.49;0.58;0.62;0.69;0.74;0.78;0.63;0.61;0.59;0.52;0.53;0.51;0.51;0.52;0.53;0.57;0.54;0.57
Azerbaijan, Rep. of;Financial Development Index;0;0;0;0;0;0;0;0;0;0;0;0;0.15;0.14;0.13;0.13;0.13;0.08;0.08;0.08;0.07;0.08;0.09;0.1;0.12;0.12;0.13;0.13;0.13;0.14;0.13;0.14;0.15;0.16;0.16;0.18;0.14;0.17;0.19;0.18;0.18
Azerbaijan, Rep. of;Financial Institutions Access Index;0;0;0;0;0;0;0;0;0;0;0;0;0.13;0.11;0.11;0.11;0.11;0.08;0.09;0.1;0.11;0.1;0.11;0.13;0.14;0.15;0.16;0.18;0.2;0.22;0.23;0.25;0.25;0.26;0.28;0.28;0.15;0.15;0.23;0.23;0.23
Azerbaijan, Rep. of;Financial Institutions Depth Index;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0.03;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.03;0.03;0.04;0.04;0.04;0.04;0.04;0.04;0.05;0.04;0.04;0.05;0.07;0.08;0.1;0.08;0.06;0.07;0.07;0.07
Azerbaijan, Rep. of;Financial Institutions Efficiency Index;0;0;0;0;0;0;0;0;0;0;0;0;0.76;0.7;0.7;0.7;0.69;0.35;0.32;0.31;0.22;0.31;0.35;0.39;0.44;0.44;0.47;0.45;0.47;0.48;0.44;0.51;0.57;0.53;0.49;0.5;0.4;0.68;0.69;0.66;0.61
