iso3;iso2;imfn;country;region;income;year;ai01;ai02;ai30;ai31;di01;di12;di14;dm01;dm02;dm03;dm05;dm12;ei01;si02;si04;sm01;oi02;oi08;oi09;oi19;om01;om02;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1962;;;;;1.89;1.89;7.15;;;;;;;;308.06;;0.61;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1963;;;;;1.85;1.85;5.07;;;;;;;;313.86;;0.59;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1964;;;;;2.09;2.09;5.19;;;;;;;;204.74;;0.95;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1965;;;;;2.65;2.65;4.97;;;;;;;;160.47;;1.45;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1966;;;;;2.57;2.57;3.80;;;;;;;;190.41;;1.35;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1967;;;;;2.73;2.73;3.25;;;;;;;;185.32;;1.41;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1968;;;;;2.50;2.50;4.03;;;;;;;;179.37;;1.43;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1969;;;;;2.63;2.63;4.87;;;;;;;;119.54;;2.11;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1970;;;;;3.26;3.26;4.55;;;;;;;;134.60;;2.15;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1971;;;;;2.82;2.82;3.83;;;;;;;;113.84;;2.61;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1972;;;;;3.89;3.89;5.55;;;;;;;;104.43;;3.41;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1973;;;;;3.87;3.87;5.49;;;;;;;;124.53;;2.99;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1974;;;;;3.62;3.62;5.38;;;;;;;;123.88;;2.72;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1975;;;;;2.58;2.58;4.71;;;;;;;;114.35;;2.57;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1976;;;;;2.23;2.23;5.43;;;;;;;;90.10;;2.56;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1977;;;;;2.05;2.05;4.13;;;;;;;;69.62;;2.86;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1978;;;;;2.45;2.45;4.56;;;;;;;;85.08;;2.51;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1979;;;;;2.67;2.67;6.06;;;;;;;;91.97;;2.67;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1980;;;;;2.86;2.86;5.98;;;;;;;;90.00;;3.08;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1981;;;;;2.44;2.44;5.84;;;;;;;;70.98;;3.59;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1982;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1983;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1984;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1985;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1986;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1987;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1988;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1989;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1990;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1991;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1992;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1993;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1994;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1995;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1996;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1997;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1998;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;1999;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2000;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2001;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2002;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2003;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2004;;0.37;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2005;;0.58;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2006;;0.92;;;4.87;4.87;4.84;;;;;;;;51.66;;9.21;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2007;;1.24;;;7.77;7.77;6.84;;;;;;8.21;;43.16;;13.07;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2008;36.40;1.48;77.80;253.50;9.34;9.34;9.39;;;;;;10.39;;53.22;;15.50;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2009;87.49;2.23;;;10.66;10.66;10.58;;;;;;11.03;;47.94;;18.71;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2010;105.89;2.39;;;11.81;11.81;11.58;;;;;;5.59;;53.14;;19.15;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2011;139.44;2.22;;;5.04;5.04;4.96;;;;;;6.45;;39.56;;19.31;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2012;166.11;2.13;;;4.16;4.16;4.47;;;;;;5.89;;22.46;;18.09;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2013;155.78;2.25;;;4.19;4.19;4.32;;;;;;6.19;;22.52;;17.72;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2014;172.81;2.30;70.70;;3.71;3.71;3.94;;;;;;5.26;;22.22;;17.20;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2015;181.09;2.16;;;3.78;3.78;3.98;;;;;;4.91;;21.01;;17.12;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2016;182.14;2.11;;;3.78;3.78;3.89;;;;;;5.05;;19.79;;18.96;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2017;166.17;2.04;;;3.71;3.71;3.84;;;;;;4.18;;19.20;;19.08;;;0;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2018;174.30;1.96;;;3.44;3.44;3.51;;;;;;3.01;;18.46;;18.88;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2019;183.29;1.87;;;3.17;3.17;3.23;;;;;;3.01;;18.50;;16.92;;;;;;;;;;;;;;
AFG;AF;512;Afghanistan;South Asia;Low income;2020;;;;;3.02;3.02;3.13;;;;;0.31;3.00;;;;17.96;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1970;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1971;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1972;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1973;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1974;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1975;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1976;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1977;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1978;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1979;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1980;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1981;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1982;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1983;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1984;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1985;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1986;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1987;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1988;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1989;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1990;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1991;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1992;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1993;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1994;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1995;;;;;4.28;4.28;;;;;;;;;10.33;;9.85;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1996;;;;;2.60;2.60;;;;;;;;;8.71;;12.69;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1997;;;;;4.23;4.23;;;;;;;;;20.20;;13.43;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1998;;;;;2.88;2.88;;;;;;;;;22.01;;14.44;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;1999;;;;;2.06;2.06;;;;;;;;;6.75;;15.41;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2000;;;;;1.61;1.61;;;;;;5.48;;;8.18;;11.40;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2001;;;;;2.95;2.95;;;;;;11.99;;;11.93;;13.75;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2002;;;;;3.43;3.43;;;;;;5.56;4.44;;15.92;;12.92;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2003;;;;;3.94;3.94;;;;;;10.90;6.25;;26.73;;10.70;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2004;;1.81;;;4.37;4.37;;;;;;9.98;6.99;;35.51;;9.95;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2005;;2.24;;;4.19;4.19;;;;;;8.11;7.56;;33.51;;10.24;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2006;;3.38;93.40;99.60;6.42;6.42;;;;;;2.69;5.70;;36.58;;12.89;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2007;;3.87;;;9.54;9.54;;;;;;4.60;6.81;;48.22;;15.27;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2008;;4.65;;;11.93;11.93;;;;;;4.74;6.55;;48.57;;19.41;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2009;;5.22;;;22.68;22.68;;;;;;2.16;5.56;;47.67;;38.23;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2010;;7.41;94.60;;20.51;20.51;;;;;;4.18;7.22;;59.02;;31.10;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2011;;8.37;;;19.65;19.65;;;;;;1.79;6.98;;55.02;;31.37;;;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2012;;9.04;;;20.96;20.96;;;;;;1.22;5.19;;64.99;;29.04;;0.78;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2013;;10.15;;;21.53;21.53;;;;;;2.56;4.75;;66.17;;31.07;;0.73;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2014;;10.19;;;19.89;19.89;;;;;;3.09;4.55;;59.90;;33.26;;0.69;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2015;;10.44;;;24.01;25.21;25.24;;;;;0.86;5.07;;57.86;;38.16;1.29;2.15;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2016;;10.29;;;19.94;21.05;21.10;;;;;2.26;6.74;;57.55;;36.75;;2.47;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2017;;10.29;;;15.92;16.72;17.00;;;;;;6.95;;54.84;;30.10;;2.05;0;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2018;;9.49;;;13.24;14.12;14.94;;;;;;5.43;;45.55;;27.90;;5.92;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2019;;9.45;;;13.26;14.14;14.29;;;;;2.80;4.98;;39.98;;30.03;3.36;8.95;;;;;;;;;;;;
AGO;AO;614;Angola;Sub-Saharan Africa;Lower middle income;2020;;;;;10.93;11.80;12.07;;;;;3.70;6.47;;;;34.12;;12.84;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;AL;914;Albania;Europe & Central Asia;Upper middle income;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
