Country;Variable;Percentile;Year;Value
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1983;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1984;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1985;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1986;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1987;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1988;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1989;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1990;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1991;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1992;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1993;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1994;
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1995;0.2201
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1996;0.2194
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1997;0.2194
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1998;0.2198
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1999;0.2217
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2000;0.2204
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2001;0.2211
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2002;0.2222
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2003;0.222
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2004;0.2212
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2005;0.2223
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2006;0.2243
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2007;0.2221
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2008;0.2217
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2009;0.2216
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2010;0.2242
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2011;0.2242
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2012;0.2293
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2013;0.2319
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2014;0.2325
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2015;0.2283
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2016;0.2268
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2017;0.2305
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2018;0.2334
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2019;0.2326
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2305
Australia;"shweal_p99p100_z_AU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2021;0.24
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1960;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1961;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1962;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1963;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1964;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1965;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1966;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1967;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1968;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1969;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1970;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1971;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1972;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1973;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1974;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1975;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1976;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1977;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1978;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1979;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1991;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1992;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1993;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1994;
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1995;0.5563
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1996;0.5559
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1997;0.556
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.5563
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.558
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.5577
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.5572
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.5583
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.5582
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.5581
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.5591
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.5614
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.5591
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.5578
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.5587
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.5602
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.5597
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.5635
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.5661
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.5662
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.5639
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.5627
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.5659
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.5676
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.5671
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5659
Australia;"shweal_p90p100_z_AU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.5713
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1960;0.0842
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1961;0.0831
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1962;0.085
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1963;0.0882
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1964;0.0846
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1965;0.0817
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1966;0.0766
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1967;0.0791
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1968;0.0769
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1969;0.0769
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1970;0.073
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1971;0.0708
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1972;0.0722
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1973;0.0694
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1974;0.0617
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1975;0.0567
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1976;0.055
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1977;0.0565
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1978;0.0556
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1979;0.0577
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1980;0.058
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1981;0.0559
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1982;0.0561
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1983;0.056
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1984;0.0599
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1985;0.0633
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1986;0.0675
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1987;0.0796
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1988;0.0981
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1989;0.0804
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1990;0.075
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1991;0.0734
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1992;0.0766
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1993;0.0816
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1994;0.0857
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1995;0.084
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1996;0.0827
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1997;0.0869
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1998;0.0901
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;1999;0.1002
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2000;0.1059
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2001;0.0965
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2002;0.1017
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2003;0.1069
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2004;0.1117
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2005;0.1124
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2006;0.124
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2007;0.1192
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2008;0.1062
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2009;0.1127
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2010;0.1149
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2011;0.1094
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2012;0.1165
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2013;0.1248
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2014;0.1191
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2015;0.1182
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2016;0.1143
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2017;0.128
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2018;0.1123
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2019;0.1128
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2020;0.1128
Australia;"sptinc_p99p100_z_AU
Pre-tax national income 
Top 1% | share
";p99p100;2021;0.1128
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1960;0.2834
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1961;0.2836
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1962;0.2887
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1963;0.2926
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1964;0.2859
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1965;0.2824
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1966;0.2737
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1967;0.276
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1968;0.2728
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1969;0.2693
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1970;0.2662
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1971;0.2691
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1972;0.2657
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1973;0.2588
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1974;0.2477
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1975;0.2408
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1976;0.2377
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1977;0.2386
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1978;0.2371
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1979;0.2412
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1980;0.2445
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1981;0.2436
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1982;0.2482
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1983;0.2438
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1984;0.2482
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1985;0.2531
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1986;0.2605
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1987;0.2778
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1988;0.2948
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1989;0.2736
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1990;0.2671
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1991;0.2722
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1992;0.2763
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1993;0.2819
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1994;0.2864
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1995;0.282
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1996;0.2786
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1997;0.287
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1998;0.2896
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;1999;0.3015
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2000;0.3071
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2001;0.2933
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2002;0.3016
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2003;0.3029
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2004;0.3066
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2005;0.3119
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2006;0.3256
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2007;0.3151
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2008;0.2977
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2009;0.3119
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2010;0.3137
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2011;0.3059
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2012;0.3182
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2013;0.3293
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2014;0.3271
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2015;0.3288
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2016;0.325
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2017;0.3356
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2018;0.3254
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2019;0.326
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2020;0.326
Australia;"sptinc_p90p100_z_AU
Pre-tax national income 
Top 10% | share
";p90p100;2021;0.326
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1960;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1961;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1962;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1963;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1964;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1965;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1966;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1967;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1968;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1969;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1970;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1971;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1972;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1973;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1974;
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;1975;
